Description,Category,Urgency,Resolution,Cost
"Items are occasionally getting stuck in the scanner spools.",Mechanical Failure,Medium,Readjust Machine,45
"Loud rattling and banging sounds are coming from assembler pistons.",Mechanical Failure,Medium,Readjust Machine,35
"There are cuts to the power when starting the plant.",Electronic Failure,High,Full Replacement,16200
"Fried capacitors in the assembler.",Electronic Failure,High,Replace Components,352
"Mixer tripped the fuses.",Electronic Failure,Low,Add to Watch List,55
"Burst pipe in the constructing agent is spraying coolant.",Leak,High,Replace Components,371
"A fuse is blown in the mixer.",Electronic Failure,Low,Replace Components,441
"Things continue to tumble off of the belt.",Mechanical Failure,Low,Readjust Machine,38
"Falling items from the conveyor belt.",Mechanical Failure,Low,Readjust Machine,41
"The scanner reel is split, it will soon begin to curve.",Mechanical Failure,Medium,Replace Components,407
"Fuses are blown in the scanner.",Electronic Failure,High,Replace Components,445
"Shrill cry from the scanner computer.",Electronic Failure,Low,Add to Watch List,77
"Sorter controller neglects to interface.",Software Failure,Low,Update Firmware,119
"Clunky sounds made by the sorting pistons.",Mechanical Failure,Low,Add to Watch List,63
"Assembler will produce bent products.",Mechanical Failure,Medium,Readjust Machine,43
"Piston assembly makes a strong banging sound.",Mechanical Failure,Medium,Readjust Machine,35
"There are cracks appearing in the outer plate of the mixer.",Mechanical Failure,High,Full Replacement,2700
"The mixing software crashed.",Software Failure,Low,Add to Watch List,50
"Scanner frequently shuts down unexpectedly.",Electronic Failure,High,Full Replacement,8100
"Fuse is blown in the assembly mixer device.",Electronic Failure,Low,Replace Components,441
"The assembler will not move from time to time.",Mechanical Failure,Low,Add to Watch List,67
"Fuse is blown in the assembler.",Electronic Failure,High,Replace Components,445
"Abnormal electrical sounds from the scanner.",Electronic Failure,Low,Add to Watch List,80
"Assembling software fails to connect to the network.",Software Failure,Medium,Update Firmware,94
"Mixer is hot to the touch.",Electronic Failure,Low,Add to Watch List,77
"A slamming sound is heard in the cylinder agent.",Mechanical Failure,Medium,Readjust Machine,35
